Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.97956021,50.96511166,50.965608,50.98678989,51.01264269,51.02428649,51.03982531,51.03886707,51.04578858,51.06411959,51.09531065,51.14565459,51.19383783,51.27332492,51.32255027,51.354426,51.3501469,51.33518868,51.30112143,51.27226039,51.26046225,51.26071234,51.27891622,51.30438976,51.28768344,51.25349073,51.17088355,51.05921925,50.92350013,50.78236364,50.67093577,50.59189453,50.53487691,50.52486378,50.5677596,50.67974702,50.83462523,51.04037449,51.28208066,51.52063275,51.74542733,51.9409637,52.11596766,52.26560567,52.37381512,52.43931699,52.45911395,52.4430965,52.39546952,52.35142781,52.3287267,52.32962618,52.35226453,52.3901815,52.42779244,52.46552104,52.49148516,
Afghanistan,AFG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.31947826,48.41052787,48.49595565,48.57598402,48.65065137,48.72019899,48.78408736,48.84252473,48.89659391,48.94784914,48.99677129,49.04355218,49.08704082,49.12515377,49.15511785,49.17543534,49.18672091,49.18991238,49.18492823,49.17125577,49.14878598,49.11373227,49.06548393,49.0108012,48.96127854,48.9259702,48.9158947,48.9268877,48.9353041,48.90825104,48.82921746,48.6957292,48.53479903,48.38678114,48.28704992,48.24799098,48.27117205,48.33999199,48.42536628,48.4888154,48.50645974,48.47026386,48.39801304,48.32011929,48.27130778,48.26950848,48.3192606,48.40617326,48.50568643,48.58539906,48.62476914,48.61892362,48.58024527,48.52649531,48.48001044,48.45455784,48.45219852,
Angola,AGO,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.40003335,51.39111091,51.38170089,51.37200345,51.36208176,51.35199094,51.34175191,51.33123928,51.32016616,51.30797551,51.29459901,51.28034676,51.26528718,51.24949883,51.23281136,51.21513606,51.19656418,51.17755019,51.15951895,51.14420251,51.13259324,51.125074,51.12100636,51.11906286,51.11750989,51.11538315,51.11218793,51.10848226,51.10541426,51.10446844,51.10642236,51.11159119,51.11888234,51.12686543,51.13380616,51.13858794,51.14086822,51.14114437,51.1399855,51.13838953,51.13689799,51.13544408,51.13368799,51.13124389,51.12770393,51.12274427,51.11661742,51.10932975,51.10043354,51.08939468,51.07599241,51.06027932,51.04281928,51.02470765,51.00715348,50.99101008,50.9763713,
Albania,ALB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.52034586,48.51818196,48.51911639,48.52083068,48.52205166,48.52140784,48.51875944,48.51450571,48.51043334,48.50894623,48.51155422,48.51885272,48.52916056,48.54095647,48.551223,48.55799617,48.56066472,48.56098779,48.56062477,48.56302669,48.57008804,48.58746012,48.61571964,48.64450992,48.66142356,48.66096513,48.62696572,48.57056264,48.54125626,48.60043766,48.78373964,49.12477221,49.60269581,50.12793216,50.55685237,50.77655881,50.72829341,50.45549142,50.06182835,49.69779293,49.46689024,49.39940469,49.45904743,49.60053179,49.75107739,49.85652024,49.90829419,49.92375773,49.90797696,49.8717696,49.82531983,49.76650962,49.69269141,49.61650883,49.55347483,49.51459864,49.50484324,
Andorra,AND,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.63681024,49.63411334,49.6332416,49.63359163,49.63437187,49.63475483,49.63438412,49.63280826,49.62914366,49.62246303,49.61195258,49.59860594,49.58226856,49.56006482,49.5286515,49.48677436,49.43348323,49.37205689,49.31032443,49.25745642,49.21861608,49.19540294,49.18409786,49.17808659,49.16899947,49.15171849,49.12591649,49.09450361,49.05990531,49.02544464,48.99711911,48.96650382,48.98693086,48.96029535,48.94670838,48.90529465,48.92558338,48.95787199,48.991352,49.01257127,49.012674,48.99040999,48.94969446,48.89387658,48.82797939,48.75629714,48.67928454,48.59820631,48.5187817,48.44742382,48.38814647,48.34278544,48.30976899,48.28545405,48.26480168,48.24464445,48.22382808,
United Arab Emirates,ARE,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.95897923,48.29285184,46.19488383,44.17323023,42.57097689,41.41549839,40.69702955,40.18404548,39.50283029,38.32404373,36.69766454,34.96815012,33.43190376,32.18011113,31.23674072,30.57970962,30.08895656,29.74524243,29.63935973,29.85664408,30.3992663,31.26204394,32.34354312,33.45578113,34.36537721,34.93038667,35.1350819,35.07456853,34.85437034,34.60010546,34.38448835,34.20092182,34.02171043,33.85504841,33.7060471,33.56985522,33.42429597,33.24992602,33.04213261,32.79833477,32.50703741,32.24190463,31.97770665,31.54473205,30.78915246,29.74433867,28.52153785,27.34074137,26.39551536,25.78520007,25.50204445,25.49881112,25.70496966,26.05706765,26.46799169,26.86804439,27.23897769,
Argentina,ARG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.21688299,49.27913002,49.34371912,49.40973131,49.47585915,49.54115369,49.60670314,49.67289016,49.7374843,49.79760016,49.85182748,49.89717416,49.93595395,49.97770232,50.03466631,50.11401975,50.21935327,50.34446226,50.47513464,50.5924447,50.68371263,50.7449751,50.78171214,50.80227495,50.81867491,50.83908088,50.8654289,50.89477981,50.92453751,50.95064993,50.97057138,50.98391241,50.99246612,50.9983622,51.0045455,51.01287568,51.02412142,51.03739802,51.05120388,51.06334536,51.07239567,51.07796047,51.08071449,51.08161111,51.08197055,51.08272107,51.08409153,51.08574083,51.08719767,51.08779885,51.08711586,51.08508719,51.08192964,51.07785701,51.07310795,51.06792234,51.06233592,
Armenia,ARM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.81728152,51.73579975,51.65556949,51.57755658,51.50379883,51.43563897,51.37166289,51.31322329,51.26306776,51.22565201,51.20296008,51.1948393,51.19902629,51.21204257,51.22954617,51.2481683,51.26940637,51.29272005,51.31198049,51.31971686,51.3120396,51.28755808,51.25165482,51.21444901,51.18958848,51.1871652,51.20630636,51.24458964,51.30738825,51.40211969,51.53377874,51.71035267,51.93086349,52.17821161,52.421353,52.63130085,52.79445213,52.91248827,52.98824197,53.03352461,53.05827389,53.06003037,53.03698611,53.00382992,52.97946283,52.97720555,53.00554335,53.0609573,53.12775942,53.18262984,53.20799859,53.19785254,53.15940744,53.10428773,53.04946153,53.00715986,52.97996422,
American Samoa,ASM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
